measure,quantile,time,sex,age,ethnic,value
lx,2.50%,2017-19,Female,77 years,Maori,57022
dx,50%,2017-19,Female,14 years,Maori,33
Lx,50%,2017-19,Male,55 years,nonMaori,94687
ex,2.50%,2017-19,Male,39 years,Total,42.43
mx,2.50%,2017-19,Male,46 years,nonMaori,0.00149
qx,2.50%,2017-19,Female,54 years,Pacific,0.00372
Lx,97.50%,2017-19,Male,22 years,Pacific,98791
qx,2.50%,2017-19,Male,77 years,Asian,0.01676
qx,97.50%,2017-19,Female,61 years,Total,0.00503
ex,2.50%,2017-19,Male,45 years,Total,36.78
lx,97.50%,2017-19,Female,6 years,Asian,99726
qx,2.50%,2017-19,Female,65 years,Pacific,0.01112
mx,97.50%,2017-19,Female,94 years,Maori,0.26173
lx,97.50%,2017-19,Male,25 years,Asian,99298
px,2.50%,2017-19,Male,31 years,Pacific,0.99843
Lx,50%,2017-19,Male,10 years,European or Other,99544
lx,97.50%,2017-19,Male,89 years,Pacific,17518
px,97.50%,2017-19,Male,81 years,Total,0.94441
lx,50%,2017-19,Male,18 years,Asian,99368
Lx,97.50%,2017-19,Male,4 years,European or Other,99643
mx,97.50%,2017-19,Male,47 years,Maori,0.0051
px,50%,2017-19,Male,98 years,Asian,0.74441
qx,50%,2017-19,Female,46 years,European or Other,0.00103
qx,2.50%,2017-19,Male,30 years,European or Other,6.50E-04
dx,2.50%,2017-19,Male,53 years,nonMaori,286
lx,2.50%,2017-19,Female,23 years,Total,99089
px,2.50%,2017-19,Female,67 years,Total,0.99123
qx,2.50%,2017-19,Male,53 years,Maori,0.0072
qx,97.50%,2017-19,Female,32 years,nonMaori,4.10E-04
lx,97.50%,2017-19,Male,55 years,Total,93968
qx,2.50%,2017-19,Male,25 years,European or Other,6.10E-04
qx,97.50%,2017-19,Female,6 years,Pacific,2.10E-04
mx,2.50%,2017-19,Female,3 years,Total,1.30E-04
qx,97.50%,2017-19,Male,28 years,European or Other,7.90E-04
qx,2.50%,2017-19,Male,66 years,Total,0.0109
px,2.50%,2017-19,Female,26 years,European or Other,0.99962
qx,97.50%,2017-19,Male,56 years,Maori,0.01149
qx,2.50%,2017-19,Male,4 years,European or Other,9.00E-05
mx,97.50%,2017-19,Male,21 years,Pacific,9.40E-04
mx,97.50%,2017-19,Female,79 years,nonMaori,0.032
qx,2.50%,2017-19,Male,39 years,nonMaori,9.00E-04
dx,2.50%,2017-19,Male,16 years,Asian,14
dx,2.50%,2017-19,Female,29 years,Maori,73
lx,97.50%,2017-19,Male,96 years,European or Other,6197
qx,2.50%,2017-19,Male,100 years,Total,0.32304
lx,50%,2017-19,Female,31 years,Asian,99317
ex,50%,2017-19,Female,25 years,nonMaori,59.97
lx,97.50%,2017-19,Female,49 years,Asian,98819
dx,2.50%,2017-19,Male,40 years,Asian,40
Lx,97.50%,2017-19,Male,47 years,nonMaori,96882
qx,2.50%,2017-19,Male,96 years,Pacific,0.20333
qx,97.50%,2017-19,Female,17 years,Pacific,3.40E-04
px,2.50%,2017-19,Female,2 years,Asian,0.99983
Lx,50%,2017-19,Female,96 years,Maori,4833
Lx,50%,2017-19,Female,90 years,European or Other,34272
lx,97.50%,2017-19,Female,41 years,European or Other,98723
dx,97.50%,2017-19,Female,43 years,Maori,241
mx,50%,2017-19,Female,54 years,nonMaori,0.00228
mx,97.50%,2017-19,Female,40 years,nonMaori,7.30E-04
mx,50%,2017-19,Female,27 years,Total,3.80E-04
ex,2.50%,2017-19,Female,97 years,Asian,2.83
px,50%,2017-19,Female,5 years,Total,0.99991
Lx,97.50%,2017-19,Female,87 years,Maori,26728
qx,97.50%,2017-19,Male,84 years,European or Other,0.08501
Lx,2.50%,2017-19,Female,96 years,nonMaori,9634
dx,50%,2017-19,Male,2 years,Asian,14
Lx,2.50%,2017-19,Male,50 years,Maori,90970
Lx,97.50%,2017-19,Male,3 years,Maori,99408
lx,97.50%,2017-19,Female,35 years,nonMaori,98950
lx,2.50%,2017-19,Female,88 years,Pacific,25689
dx,97.50%,2017-19,Male,4 years,Maori,27
px,97.50%,2017-19,Male,60 years,nonMaori,0.99442
mx,97.50%,2017-19,Female,43 years,Maori,0.0025
dx,97.50%,2017-19,Male,65 years,Maori,1898
mx,97.50%,2017-19,Male,2 years,Pacific,3.40E-04
mx,97.50%,2017-19,Female,18 years,Maori,6.70E-04
ex,97.50%,2017-19,Female,83 years,nonMaori,8.18
Lx,97.50%,2017-19,Female,85 years,Maori,33092
Lx,97.50%,2017-19,Male,66 years,European or Other,88616
ex,97.50%,2017-19,Female,53 years,Maori,27.23
mx,2.50%,2017-19,Female,63 years,Maori,0.01322
px,97.50%,2017-19,Female,74 years,nonMaori,0.98453
px,97.50%,2017-19,Female,30 years,European or Other,0.99969
ex,2.50%,2017-19,Female,62 years,Asian,26.94
lx,97.50%,2017-19,Male,31 years,Pacific,98027
dx,97.50%,2017-19,Male,61 years,Total,702
px,2.50%,2017-19,Female,23 years,nonMaori,0.99964
px,50%,2017-19,Male,17 years,Asian,0.99978
qx,97.50%,2017-19,Male,71 years,Pacific,0.03845
qx,2.50%,2017-19,Female,10 years,Total,7.00E-05
ex,2.50%,2017-19,Male,31 years,Pacific,45.3
mx,50%,2017-19,Female,28 years,nonMaori,2.90E-04
mx,50%,2017-19,Female,31 years,Asian,1.80E-04
lx,50%,2017-19,Male,40 years,nonMaori,97750
mx,2.50%,2017-19,Male,84 years,nonMaori,0.0807
dx,97.50%,2017-19,Female,53 years,Pacific,481
dx,97.50%,2017-19,Male,91 years,nonMaori,3891
mx,2.50%,2017-19,Male,12 years,Total,1.40E-04
ex,2.50%,2017-19,Male,98 years,European or Other,2.17
mx,2.50%,2017-19,Male,19 years,Pacific,4.60E-04
mx,50%,2017-19,Female,31 years,European or Other,3.80E-04
qx,50%,2017-19,Male,58 years,Total,0.00584
lx,50%,2017-19,Female,64 years,Pacific,87487
dx,2.50%,2017-19,Female,55 years,Pacific,374
ex,97.50%,2017-19,Female,64 years,Total,22.51
lx,97.50%,2017-19,Female,37 years,Asian,99311
ex,50%,2017-19,Female,13 years,Pacific,66.64
Lx,2.50%,2017-19,Female,65 years,Asian,95776
Lx,2.50%,2017-19,Male,96 years,nonMaori,4926
px,2.50%,2017-19,Male,88 years,Maori,0.82706
mx,50%,2017-19,Male,60 years,European or Other,0.00581
ex,50%,2017-19,Male,4 years,Maori,69.94
ex,97.50%,2017-19,Female,57 years,Asian,32.46
ex,97.50%,2017-19,Female,21 years,European or Other,64.02
px,50%,2017-19,Female,93 years,European or Other,0.81622
lx,2.50%,2017-19,Female,5 years,Total,99462
lx,2.50%,2017-19,Female,92 years,Pacific,13207
px,50%,2017-19,Female,99 years,Asian,0.74301
qx,97.50%,2017-19,Male,91 years,Maori,0.22575
px,50%,2017-19,Male,100 years and over,Pacific,0
Lx,97.50%,2017-19,Male,63 years,Total,89079
qx,2.50%,2017-19,Male,16 years,Asian,1.40E-04
Lx,97.50%,2017-19,Male,50 years,European or Other,96309
lx,50%,2017-19,Male,53 years,nonMaori,95510
lx,50%,2017-19,Female,5 years,European or Other,99665
mx,97.50%,2017-19,Female,71 years,Pacific,0.02744
dx,97.50%,2017-19,Male,29 years,Pacific,136
ex,2.50%,2017-19,Female,68 years,nonMaori,19.28
ex,2.50%,2017-19,Female,71 years,Asian,18.68
qx,50%,2017-19,Male,3 years,Pacific,1.90E-04
px,50%,2017-19,Female,63 years,European or Other,0.99503
mx,97.50%,2017-19,Male,88 years,Pacific,0.19609
mx,50%,2017-19,Male,76 years,European or Other,0.02923
mx,97.50%,2017-19,Female,69 years,Total,0.01068
Lx,2.50%,2017-19,Male,74 years,Pacific,60509
qx,2.50%,2017-19,Male,72 years,Maori,0.0361
mx,97.50%,2017-19,Male,50 years,Asian,0.00175
lx,2.50%,2017-19,Female,95 years,nonMaori,14229
lx,50%,2017-19,Male,12 years,European or Other,99530
px,97.50%,2017-19,Male,49 years,Pacific,0.9962
px,2.50%,2017-19,Female,58 years,nonMaori,0.99665
px,50%,2017-19,Male,73 years,Pacific,0.96091
qx,50%,2017-19,Female,66 years,European or Other,0.00661
px,2.50%,2017-19,Female,44 years,Total,0.9988
ex,97.50%,2017-19,Male,66 years,nonMaori,18.87
ex,50%,2017-19,Male,19 years,European or Other,62.47
px,50%,2017-19,Female,4 years,Pacific,0.99985
mx,50%,2017-19,Male,31 years,Total,8.50E-04
px,2.50%,2017-19,Female,13 years,Maori,0.99966
dx,2.50%,2017-19,Female,13 years,European or Other,7
px,2.50%,2017-19,Female,0 years,Asian,0.99628
qx,50%,2017-19,Male,11 years,European or Other,1.00E-04
lx,97.50%,2017-19,Male,47 years,Pacific,94919
px,2.50%,2017-19,Male,91 years,Total,0.81172
mx,97.50%,2017-19,Male,99 years,Pacific,0.63807
dx,97.50%,2017-19,Female,76 years,Maori,3115
px,97.50%,2017-19,Female,56 years,Total,0.99701
px,2.50%,2017-19,Male,80 years,Maori,0.91235
mx,97.50%,2017-19,Male,97 years,Asian,0.3508
Lx,2.50%,2017-19,Female,51 years,Pacific,94459
dx,97.50%,2017-19,Male,33 years,nonMaori,81
Lx,2.50%,2017-19,Male,39 years,Pacific,96057
dx,2.50%,2017-19,Male,2 years,Pacific,12
Lx,2.50%,2017-19,Male,80 years,nonMaori,62714
Lx,50%,2017-19,Male,81 years,European or Other,59993
Lx,50%,2017-19,Male,72 years,Total,78856
mx,50%,2017-19,Male,48 years,Total,0.00241
Lx,2.50%,2017-19,Male,83 years,European or Other,52122
lx,97.50%,2017-19,Male,7 years,Pacific,99351
lx,2.50%,2017-19,Female,36 years,Asian,99090
dx,97.50%,2017-19,Female,38 years,Pacific,157
lx,2.50%,2017-19,Female,44 years,European or Other,98316
px,97.50%,2017-19,Male,28 years,Total,0.99931
dx,97.50%,2017-19,Male,14 years,European or Other,22
px,97.50%,2017-19,Female,23 years,nonMaori,0.99973
Lx,50%,2017-19,Male,31 years,Total,98142
dx,50%,2017-19,Female,47 years,Asian,67
mx,97.50%,2017-19,Female,1 years,Maori,4.10E-04
ex,50%,2017-19,Female,7 years,European or Other,77.79
Lx,97.50%,2017-19,Male,40 years,Total,97325
px,2.50%,2017-19,Female,76 years,nonMaori,0.97936
mx,50%,2017-19,Female,90 years,nonMaori,0.14259
qx,50%,2017-19,Female,3 years,Maori,1.80E-04
ex,2.50%,2017-19,Male,87 years,Maori,4.4
lx,2.50%,2017-19,Female,35 years,Total,98572
ex,50%,2017-19,Male,34 years,nonMaori,48.02
ex,2.50%,2017-19,Female,6 years,Pacific,73.11
Lx,2.50%,2017-19,Male,5 years,European or Other,99531
px,2.50%,2017-19,Female,80 years,Asian,0.97502
qx,2.50%,2017-19,Female,80 years,European or Other,0.03315
dx,2.50%,2017-19,Female,60 years,Pacific,615
ex,97.50%,2017-19,Female,84 years,Pacific,7.11
dx,2.50%,2017-19,Male,104 years,Total,67
ex,2.50%,2017-19,Female,98 years,Asian,2.58
ex,2.50%,2017-19,Male,63 years,nonMaori,21.22
dx,50%,2017-19,Male,59 years,Pacific,879
mx,97.50%,2017-19,Female,67 years,Asian,0.00453
dx,97.50%,2017-19,Male,0 years,European or Other,386
ex,97.50%,2017-19,Female,27 years,Maori,51.36
lx,50%,2017-19,Female,1 years,European or Other,99720
px,97.50%,2017-19,Female,30 years,Total,0.99963
qx,97.50%,2017-19,Male,85 years,European or Other,0.09752
mx,2.50%,2017-19,Female,15 years,Asian,8.00E-05
ex,2.50%,2017-19,Female,18 years,European or Other,66.77
ex,97.50%,2017-19,Female,41 years,nonMaori,44.39
Lx,50%,2017-19,Female,64 years,Pacific,86979
px,97.50%,2017-19,Male,51 years,nonMaori,0.99757
mx,2.50%,2017-19,Male,50 years,nonMaori,0.00219
lx,97.50%,2017-19,Female,33 years,Pacific,98612
lx,50%,2017-19,Male,98 years,Asian,8841
px,2.50%,2017-19,Male,9 years,nonMaori,0.99989
ex,97.50%,2017-19,Male,7 years,European or Other,74.42
mx,97.50%,2017-19,Female,19 years,nonMaori,3.20E-04
qx,97.50%,2017-19,Male,99 years,nonMaori,0.36937
Lx,50%,2017-19,Female,88 years,nonMaori,43748
Lx,2.50%,2017-19,Male,7 years,Maori,99136
Lx,2.50%,2017-19,Male,46 years,Maori,92882
Lx,50%,2017-19,Male,70 years,European or Other,84250
Lx,97.50%,2017-19,Female,1 years,nonMaori,99647
px,97.50%,2017-19,Female,77 years,Pacific,0.96581
Lx,50%,2017-19,Male,76 years,Maori,50789
ex,2.50%,2017-19,Male,9 years,Total,71.36
ex,2.50%,2017-19,Male,88 years,Pacific,4.01
mx,2.50%,2017-19,Male,21 years,Asian,2.10E-04
qx,97.50%,2017-19,Male,25 years,Asian,4.00E-04
px,2.50%,2017-19,Female,8 years,European or Other,0.99993
lx,50%,2017-19,Female,7 years,Maori,99424
mx,50%,2017-19,Female,100 years,Total,0.38808
dx,97.50%,2017-19,Male,39 years,Maori,265
Lx,50%,2017-19,Female,54 years,European or Other,96957
px,50%,2017-19,Female,49 years,Maori,0.99619
dx,97.50%,2017-19,Female,14 years,Total,20
lx,50%,2017-19,Male,91 years,Total,19489
dx,2.50%,2017-19,Male,69 years,Maori,1786
Lx,50%,2017-19,Male,34 years,nonMaori,98229
qx,2.50%,2017-19,Female,65 years,European or Other,0.00546
Lx,2.50%,2017-19,Female,45 years,Maori,95752
Lx,2.50%,2017-19,Male,46 years,Asian,98048
Lx,2.50%,2017-19,Male,6 years,Pacific,99074
lx,50%,2017-19,Female,10 years,Maori,99383
dx,2.50%,2017-19,Male,12 years,nonMaori,11
px,97.50%,2017-19,Male,61 years,Asian,0.99632
qx,97.50%,2017-19,Female,61 years,Pacific,0.01
mx,2.50%,2017-19,Male,45 years,European or Other,0.00137
dx,2.50%,2017-19,Female,92 years,Asian,4323
lx,50%,2017-19,Male,61 years,nonMaori,92197
dx,97.50%,2017-19,Male,51 years,Maori,689
Lx,2.50%,2017-19,Male,66 years,Pacific,78083
qx,50%,2017-19,Female,40 years,Total,7.80E-04
ex,2.50%,2017-19,Male,45 years,nonMaori,37.42
px,50%,2017-19,Male,72 years,Pacific,0.96476
px,50%,2017-19,Male,40 years,nonMaori,0.99892
qx,50%,2017-19,Male,103 years,Total,0.42187
ex,50%,2017-19,Female,76 years,Pacific,10.76
px,2.50%,2017-19,Male,56 years,European or Other,0.9958
ex,50%,2017-19,Male,68 years,Asian,20.09
Lx,2.50%,2017-19,Male,82 years,Asian,68059
px,97.50%,2017-19,Female,72 years,Maori,0.97097
mx,50%,2017-19,Female,41 years,European or Other,6.60E-04
qx,50%,2017-19,Male,82 years,Total,0.06499
ex,2.50%,2017-19,Female,1 years,nonMaori,83.6
lx,97.50%,2017-19,Female,63 years,European or Other,94473
ex,50%,2017-19,Male,75 years,Maori,9.79
qx,50%,2017-19,Male,30 years,nonMaori,6.30E-04
mx,2.50%,2017-19,Female,43 years,Pacific,0.00148
Lx,2.50%,2017-19,Female,63 years,Maori,84253
px,50%,2017-19,Female,51 years,European or Other,0.9983
px,2.50%,2017-19,Female,34 years,Total,0.9994
Lx,2.50%,2017-19,Female,76 years,nonMaori,81571
ex,2.50%,2017-19,Female,69 years,nonMaori,18.43
ex,97.50%,2017-19,Female,47 years,nonMaori,38.6
Lx,97.50%,2017-19,Female,43 years,Asian,99116
dx,2.50%,2017-19,Female,66 years,nonMaori,580
qx,2.50%,2017-19,Male,41 years,Asian,4.30E-04
mx,2.50%,2017-19,Female,51 years,Total,0.00205
px,2.50%,2017-19,Female,81 years,European or Other,0.95863
mx,2.50%,2017-19,Male,49 years,Asian,9.40E-04
Lx,97.50%,2017-19,Male,26 years,nonMaori,98820
px,50%,2017-19,Male,24 years,Asian,0.9997
dx,2.50%,2017-19,Female,61 years,nonMaori,348
dx,2.50%,2017-19,Male,77 years,Total,2281
lx,2.50%,2017-19,Female,46 years,Asian,98703
qx,2.50%,2017-19,Male,55 years,European or Other,0.0034
mx,97.50%,2017-19,Male,100 years,Total,0.47558
dx,97.50%,2017-19,Female,21 years,European or Other,37
mx,2.50%,2017-19,Female,54 years,Total,0.00261
qx,97.50%,2017-19,Male,1 years,Maori,5.40E-04
qx,2.50%,2017-19,Male,4 years,Total,1.20E-04
dx,50%,2017-19,Male,65 years,European or Other,790
lx,2.50%,2017-19,Female,33 years,Asian,99156
qx,2.50%,2017-19,Male,97 years,Asian,0.17739
Lx,2.50%,2017-19,Female,31 years,European or Other,99037
qx,2.50%,2017-19,Male,69 years,Maori,0.02589
mx,2.50%,2017-19,Male,5 years,European or Other,8.00E-05
ex,50%,2017-19,Female,71 years,nonMaori,16.82
ex,97.50%,2017-19,Male,90 years,Maori,4.4
lx,97.50%,2017-19,Male,71 years,Asian,89664
lx,97.50%,2017-19,Male,5 years,European or Other,99638
dx,2.50%,2017-19,Male,41 years,Total,121
qx,50%,2017-19,Male,97 years,Asian,0.23258
lx,97.50%,2017-19,Female,3 years,Maori,99561
qx,97.50%,2017-19,Male,33 years,Maori,0.00234
dx,97.50%,2017-19,Male,80 years,nonMaori,3259
ex,50%,2017-19,Male,43 years,Asian,43.06
qx,50%,2017-19,Male,73 years,Maori,0.04226
Lx,97.50%,2017-19,Male,29 years,Asian,99171
mx,50%,2017-19,Female,18 years,nonMaori,2.50E-04
lx,50%,2017-19,Female,84 years,Asian,74631
Lx,2.50%,2017-19,Male,50 years,Asian,97591
Lx,97.50%,2017-19,Female,79 years,Asian,85577
ex,97.50%,2017-19,Male,96 years,nonMaori,2.82
lx,50%,2017-19,Male,64 years,European or Other,90357
qx,50%,2017-19,Male,89 years,Maori,0.16689
qx,97.50%,2017-19,Male,0 years,Maori,0.00699
Lx,2.50%,2017-19,Male,17 years,European or Other,99347
qx,97.50%,2017-19,Female,76 years,Pacific,0.04195
Lx,50%,2017-19,Female,46 years,Asian,98829
ex,2.50%,2017-19,Male,6 years,nonMaori,75.23
ex,50%,2017-19,Female,63 years,nonMaori,23.7
lx,2.50%,2017-19,Male,76 years,Maori,51058
qx,2.50%,2017-19,Male,94 years,Asian,0.14272
px,97.50%,2017-19,Male,51 years,Maori,0.99398
lx,97.50%,2017-19,Male,79 years,nonMaori,67950
px,50%,2017-19,Male,89 years,nonMaori,0.85197
ex,97.50%,2017-19,Male,43 years,Pacific,35.07
qx,2.50%,2017-19,Female,51 years,nonMaori,0.00163
Lx,50%,2017-19,Male,28 years,Total,98378
dx,97.50%,2017-19,Female,12 years,European or Other,9
dx,97.50%,2017-19,Male,48 years,nonMaori,207
dx,97.50%,2017-19,Female,62 years,European or Other,452
mx,97.50%,2017-19,Male,42 years,nonMaori,0.00132
Lx,50%,2017-19,Female,58 years,Maori,89804
lx,2.50%,2017-19,Male,42 years,Asian,98386
Lx,97.50%,2017-19,Male,3 years,nonMaori,99543
lx,97.50%,2017-19,Male,92 years,European or Other,17167
px,50%,2017-19,Male,88 years,Maori,0.84619
Lx,97.50%,2017-19,Male,58 years,Asian,96361
Lx,97.50%,2017-19,Male,0 years,Pacific,99486
dx,97.50%,2017-19,Male,48 years,European or Other,203
ex,97.50%,2017-19,Female,59 years,European or Other,27.42
dx,97.50%,2017-19,Male,36 years,Total,109
mx,50%,2017-19,Female,36 years,Asian,2.30E-04
px,2.50%,2017-19,Male,58 years,nonMaori,0.99479
ex,2.50%,2017-19,Male,2 years,European or Other,79.16
mx,97.50%,2017-19,Female,85 years,Maori,0.11305
dx,50%,2017-19,Female,71 years,nonMaori,957
dx,97.50%,2017-19,Female,1 years,Maori,41
dx,2.50%,2017-19,Female,23 years,Pacific,28
ex,97.50%,2017-19,Female,58 years,nonMaori,28.3
lx,97.50%,2017-19,Male,19 years,Total,99150
ex,50%,2017-19,Female,63 years,European or Other,23.74
ex,2.50%,2017-19,Male,22 years,Total,58.68
px,2.50%,2017-19,Male,87 years,Asian,0.90455
Lx,97.50%,2017-19,Female,84 years,Maori,36288
ex,97.50%,2017-19,Female,27 years,Total,57.33
mx,2.50%,2017-19,Female,78 years,nonMaori,0.02507
dx,97.50%,2017-19,Female,62 years,nonMaori,443
dx,50%,2017-19,Female,71 years,European or Other,935
mx,97.50%,2017-19,Male,62 years,Asian,0.00529
mx,50%,2017-19,Female,46 years,nonMaori,0.00109
qx,50%,2017-19,Male,11 years,Maori,2.60E-04
px,50%,2017-19,Male,98 years,nonMaori,0.67942
dx,50%,2017-19,Male,93 years,European or Other,2935
ex,2.50%,2017-19,Female,30 years,Asian,58.05
px,50%,2017-19,Female,44 years,nonMaori,0.99911
Lx,2.50%,2017-19,Female,6 years,Asian,99561
ex,50%,2017-19,Female,92 years,European or Other,4.02
Lx,97.50%,2017-19,Male,96 years,Asian,15644
qx,50%,2017-19,Male,27 years,Total,7.60E-04
qx,2.50%,2017-19,Female,33 years,Asian,1.50E-04
qx,50%,2017-19,Female,59 years,Total,0.00417
qx,2.50%,2017-19,Male,50 years,nonMaori,0.00218
lx,2.50%,2017-19,Male,28 years,nonMaori,98574
dx,2.50%,2017-19,Female,97 years,Maori,851
qx,97.50%,2017-19,Female,15 years,Pacific,3.00E-04
Lx,2.50%,2017-19,Female,63 years,nonMaori,93798
mx,2.50%,2017-19,Male,15 years,European or Other,2.10E-04
Lx,2.50%,2017-19,Male,68 years,nonMaori,86080
lx,50%,2017-19,Male,84 years,Maori,27802
mx,97.50%,2017-19,Male,53 years,Asian,0.0023
Lx,97.50%,2017-19,Male,99 years,Asian,7996
dx,97.50%,2017-19,Female,3 years,Maori,23
mx,97.50%,2017-19,Male,94 years,Total,0.27975
px,2.50%,2017-19,Female,100 years and over,nonMaori,0
px,50%,2017-19,Male,25 years,Total,0.99921
Lx,50%,2017-19,Male,74 years,Pacific,62036
ex,97.50%,2017-19,Female,78 years,nonMaori,11.47
px,2.50%,2017-19,Male,83 years,Pacific,0.8849
mx,50%,2017-19,Male,96 years,Maori,0.32972
lx,2.50%,2017-19,Male,37 years,Total,97536
dx,2.50%,2017-19,Male,53 years,European or Other,279
lx,97.50%,2017-19,Male,73 years,Total,78296
mx,2.50%,2017-19,Male,94 years,Asian,0.15369
ex,97.50%,2017-19,Female,24 years,nonMaori,61.04
qx,50%,2017-19,Male,40 years,Total,0.0013
lx,2.50%,2017-19,Female,81 years,Total,69185
ex,50%,2017-19,Male,73 years,Pacific,10.98
mx,2.50%,2017-19,Male,14 years,nonMaori,1.70E-04
mx,50%,2017-19,Male,15 years,Total,3.40E-04
qx,2.50%,2017-19,Male,24 years,European or Other,6.00E-04
mx,2.50%,2017-19,Female,4 years,European or Other,7.00E-05
qx,2.50%,2017-19,Female,97 years,European or Other,0.25634
px,97.50%,2017-19,Male,70 years,European or Other,0.98645
qx,2.50%,2017-19,Male,65 years,Pacific,0.01529
px,97.50%,2017-19,Female,66 years,European or Other,0.9938
qx,50%,2017-19,Male,77 years,Total,0.0339
qx,97.50%,2017-19,Male,95 years,Maori,0.31819
ex,97.50%,2017-19,Male,26 years,Pacific,50.93
Lx,97.50%,2017-19,Male,10 years,European or Other,99595
mx,97.50%,2017-19,Female,42 years,Pacific,0.00212
dx,2.50%,2017-19,Male,47 years,European or Other,153
dx,2.50%,2017-19,Female,94 years,Total,3373
lx,2.50%,2017-19,Female,99 years,Maori,1735
dx,2.50%,2017-19,Female,87 years,nonMaori,4461
lx,97.50%,2017-19,Female,14 years,Pacific,99349
dx,50%,2017-19,Female,25 years,Asian,17
ex,2.50%,2017-19,Female,55 years,Maori,24.98
qx,50%,2017-19,Female,9 years,Asian,1.00E-04
lx,97.50%,2017-19,Female,55 years,Pacific,94064
lx,97.50%,2017-19,Female,25 years,Pacific,99040
mx,2.50%,2017-19,Female,35 years,Asian,1.60E-04
mx,97.50%,2017-19,Female,57 years,Maori,0.00907
dx,2.50%,2017-19,Female,91 years,Pacific,2453
Lx,50%,2017-19,Female,100 years and over,Asian,22152
dx,2.50%,2017-19,Male,54 years,Asian,173
qx,97.50%,2017-19,Female,13 years,European or Other,1.10E-04
px,97.50%,2017-19,Female,1 years,Total,0.99977
lx,97.50%,2017-19,Male,62 years,Total,90190
Lx,50%,2017-19,Female,88 years,European or Other,43982
qx,97.50%,2017-19,Female,0 years,European or Other,0.00323
px,2.50%,2017-19,Male,27 years,nonMaori,0.99933
mx,97.50%,2017-19,Male,92 years,European or Other,0.23233
px,50%,2017-19,Female,87 years,Maori,0.88542
dx,50%,2017-19,Female,41 years,Total,82
mx,97.50%,2017-19,Male,23 years,Pacific,0.0011
Lx,97.50%,2017-19,Male,5 years,Asian,99654
lx,2.50%,2017-19,Female,54 years,Total,96131
lx,97.50%,2017-19,Female,57 years,Asian,98010
qx,2.50%,2017-19,Male,59 years,Maori,0.01327
mx,2.50%,2017-19,Male,96 years,Asian,0.17853
qx,2.50%,2017-19,Male,45 years,Asian,6.30E-04
px,50%,2017-19,Female,96 years,Total,0.75875
ex,2.50%,2017-19,Female,6 years,Asian,81.83
mx,50%,2017-19,Female,30 years,Maori,9.70E-04
px,2.50%,2017-19,Male,34 years,European or Other,0.99898
ex,97.50%,2017-19,Male,52 years,nonMaori,31.07
ex,2.50%,2017-19,Male,0 years,nonMaori,80.79
qx,50%,2017-19,Female,61 years,Maori,0.01149
px,2.50%,2017-19,Female,31 years,Total,0.9995
mx,2.50%,2017-19,Male,99 years,nonMaori,0.38141
mx,97.50%,2017-19,Female,15 years,Asian,1.70E-04
qx,2.50%,2017-19,Male,27 years,Pacific,7.90E-04
ex,2.50%,2017-19,Male,4 years,Asian,81
dx,50%,2017-19,Female,78 years,European or Other,2024
mx,2.50%,2017-19,Female,3 years,Pacific,1.00E-04
qx,50%,2017-19,Female,85 years,European or Other,0.06792
ex,50%,2017-19,Male,5 years,Total,75.42
qx,97.50%,2017-19,Female,81 years,Maori,0.07506
Lx,50%,2017-19,Female,37 years,Pacific,97956
lx,97.50%,2017-19,Male,42 years,Maori,95031
ex,2.50%,2017-19,Female,100 years,European or Other,2.23
px,97.50%,2017-19,Male,66 years,Total,0.9891
qx,2.50%,2017-19,Male,36 years,Total,9.20E-04
px,50%,2017-19,Male,42 years,Maori,0.99698
ex,50%,2017-19,Female,23 years,Pacific,56.81
dx,50%,2017-19,Male,6 years,Asian,14
lx,97.50%,2017-19,Female,0 years,European or Other,100000
ex,2.50%,2017-19,Female,83 years,Asian,9.15
dx,2.50%,2017-19,Male,35 years,Total,88
Lx,50%,2017-19,Female,84 years,Total,58371
mx,50%,2017-19,Female,39 years,Pacific,0.00137
px,97.50%,2017-19,Male,99 years,Pacific,0.77805
px,50%,2017-19,Male,30 years,Asian,0.9997
mx,50%,2017-19,Female,51 years,European or Other,0.0017
Lx,2.50%,2017-19,Male,32 years,Total,97972
dx,2.50%,2017-19,Female,63 years,Total,526
px,97.50%,2017-19,Male,5 years,Total,0.9999
qx,97.50%,2017-19,Female,19 years,Pacific,4.00E-04
Lx,50%,2017-19,Female,62 years,Asian,96855
px,50%,2017-19,Female,9 years,Asian,0.9999
mx,50%,2017-19,Female,42 years,Maori,0.00192
px,2.50%,2017-19,Female,24 years,European or Other,0.99962
mx,97.50%,2017-19,Male,8 years,Asian,2.00E-04
ex,2.50%,2017-19,Female,41 years,Pacific,39.07
dx,2.50%,2017-19,Female,43 years,Total,90
mx,2.50%,2017-19,Male,43 years,Asian,5.10E-04
qx,97.50%,2017-19,Female,67 years,Pacific,0.01663
px,50%,2017-19,Male,23 years,Pacific,0.99916
qx,97.50%,2017-19,Female,99 years,nonMaori,0.33471
lx,50%,2017-19,Male,24 years,nonMaori,98901
dx,2.50%,2017-19,Male,18 years,Pacific,39
qx,50%,2017-19,Male,51 years,nonMaori,0.00264
px,2.50%,2017-19,Female,81 years,Maori,0.92494
Lx,2.50%,2017-19,Female,20 years,Maori,98863
mx,97.50%,2017-19,Female,7 years,Pacific,2.00E-04
lx,50%,2017-19,Female,7 years,Total,99488
